date,close
2023-06-01,3806.8679
2023-06-02,3861.8337
2023-06-05,3844.2492
2023-06-06,3808.1629
2023-06-07,3789.3418
2023-06-08,3820.1867
2023-06-09,3836.7026
2023-06-12,3844.4324
2023-06-13,3864.9074
2023-06-14,3864.0247
2023-06-15,3925.4994
2023-06-16,3963.3509
2023-06-19,3930.9079
2023-06-20,3924.2377
2023-06-21,3864.0323
2023-06-26,3809.6962
2023-06-27,3845.4334
2023-06-28,3840.7986
2023-06-29,3821.8435
2023-06-30,3842.4516
2023-07-03,3892.8821
2023-07-04,3899.0133
2023-07-05,3868.8054
2023-07-06,3842.7547
2023-07-07,3825.6988
2023-07-10,3844.3269
2023-07-11,3869.4861
2023-07-12,3843.4369
2023-07-13,3898.4229
2023-07-14,3899.1027
2023-07-17,3867.1749
2023-07-18,3854.9393
2023-07-19,3850.8663
2023-07-20,3823.6946
2023-07-21,3821.91
2023-07-24,3805.221
2023-07-25,3915.1153
2023-07-26,3907.0128
2023-07-27,3902.3458
2023-07-28,3992.7376
2023-07-31,4014.6301
2023-08-01,3998.001
2023-08-02,3969.895
2023-08-03,4004.9839
2023-08-04,4020.5792
2023-08-07,3990.1531
2023-08-08,3979.7322
2023-08-09,3967.5652
2023-08-10,3975.7166
2023-08-11,3884.2538
2023-08-14,3855.9061
2023-08-15,3846.5357
2023-08-16,3818.3338
2023-08-17,3831.1008
2023-08-18,3784.0038
2023-08-21,3729.555
2023-08-22,3758.2271
2023-08-23,3696.6339
2023-08-24,3723.4293
2023-08-25,3709.1517
2023-08-28,3752.6194
2023-08-29,3790.1067
2023-08-30,3788.5097
2023-08-31,3765.2678
2023-09-01,3791.4912
2023-09-04,3848.9517
2023-09-05,3820.3174
2023-09-06,3812.0283
2023-09-07,3758.4748
2023-09-08,3739.9927
2023-09-11,3767.537
2023-09-12,3760.6048
2023-09-13,3736.6513
2023-09-14,3733.5077
2023-09-15,3708.7766
2023-09-18,3727.711
2023-09-19,3720.5021
2023-09-20,3705.6898
2023-09-21,3672.4448
2023-09-22,3738.9327
2023-09-25,3714.6037
2023-09-26,3692.8928
2023-09-27,3700.495
2023-09-28,3689.5172
2023-10-09,3684.7272
2023-10-10,3657.1259
2023-10-11,3667.5483
2023-10-12,3702.3824
2023-10-13,3663.4104
2023-10-16,3626.5972
2023-10-17,3639.4018
2023-10-18,3610.5767
2023-10-19,3533.5445
2023-10-20,3510.5889
2023-10-23,3474.2438
2023-10-24,3487.1302
2023-10-25,3504.4576
2023-10-26,3514.1448
2023-10-27,3562.3851
2023-10-30,3583.7718
2023-10-31,3572.5056
2023-11-01,3571.0268
2023-11-02,3554.1889
2023-11-03,3584.1364
2023-11-06,3632.6084
2023-11-07,3619.7593
2023-11-08,3611.0723
2023-11-09,3612.8263
2023-11-10,3586.4893
2023-11-13,3579.4141
2023-11-14,3582.0584
2023-11-15,3607.2454
2023-11-16,3572.3641
2023-11-17,3568.0685
2023-11-20,3576.3233
2023-11-21,3581.0674
2023-11-22,3544.4162
2023-11-23,3561.5204
2023-11-24,3538.0087
2023-11-27,3511.9424
2023-11-28,3518.5232
2023-11-29,3488.3073
2023-11-30,3496.2028
2023-12-01,3482.8813
2023-12-04,3460.138
2023-12-05,3394.2571
2023-12-06,3399.598
2023-12-07,3391.2823
2023-12-08,3399.4618
2023-12-11,3419.4548
2023-12-12,3426.803
2023-12-13,3369.605
2023-12-14,3351.9639
2023-12-15,3341.5517
2023-12-18,3329.3657
2023-12-19,3334.0412
2023-12-20,3297.5022
2023-12-21,3330.8698
2023-12-22,3337.2281
2023-12-25,3347.4508
2023-12-26,3324.7902
2023-12-27,3336.3572
2023-12-28,3414.5403
2023-12-29,3431.1099
2024-01-02,3386.3522
2024-01-03,3378.2971
2024-01-04,3347.0519
2024-01-05,3329.1114
2024-01-08,3286.0564
2024-01-09,3292.4994
2024-01-10,3277.129
2024-01-11,3295.6717
2024-01-12,3284.1667
